diseaseId	diseaseName	drugId	drugName	type	mechanismOfAction	actionType	symbol	name	phase	status	source
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLA2	DNA polymerase alpha 2, accessory subunit	4	Unknown status	https://clinicaltrials.gov/study/NCT02926586,https://clinicaltrials.gov/study/NCT00199147,https://clinicaltrials.gov/study/NCT02024308,https://clinicaltrials.gov/study/NCT01587430,https://clinicaltrials.gov/study/NCT02277847
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLD1	DNA polymerase delta 1, catalytic subunit	4	Unknown status	https://clinicaltrials.gov/study/NCT02926586,https://clinicaltrials.gov/study/NCT01587430,https://clinicaltrials.gov/study/NCT02277847,https://clinicaltrials.gov/study/NCT00199147,https://clinicaltrials.gov/study/NCT02024308
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLD3	DNA polymerase delta 3, accessory subunit	4	Unknown status	https://clinicaltrials.gov/study/NCT01587430,https://clinicaltrials.gov/study/NCT02277847,https://clinicaltrials.gov/study/NCT00199147,https://clinicaltrials.gov/study/NCT02024308,https://clinicaltrials.gov/study/NCT02926586
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		PRIM2	DNA primase subunit 2	4	Unknown status	https://clinicaltrials.gov/study/NCT01587430,https://clinicaltrials.gov/study/NCT02024308,https://clinicaltrials.gov/study/NCT02926586,https://clinicaltrials.gov/study/NCT02277847,https://clinicaltrials.gov/study/NCT00199147
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLE3	DNA polymerase epsilon 3, accessory subunit	4	Unknown status	https://clinicaltrials.gov/study/NCT02024308,https://clinicaltrials.gov/study/NCT02277847,https://clinicaltrials.gov/study/NCT00199147,https://clinicaltrials.gov/study/NCT02926586,https://clinicaltrials.gov/study/NCT01587430
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLE	DNA polymerase epsilon, catalytic subunit	4	Unknown status	https://clinicaltrials.gov/study/NCT02926586,https://clinicaltrials.gov/study/NCT01587430,https://clinicaltrials.gov/study/NCT02024308,https://clinicaltrials.gov/study/NCT00199147,https://clinicaltrials.gov/study/NCT02277847
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		PRIM1	DNA primase subunit 1	4	Unknown status	https://clinicaltrials.gov/study/NCT02277847,https://clinicaltrials.gov/study/NCT01587430,https://clinicaltrials.gov/study/NCT02926586,https://clinicaltrials.gov/study/NCT00199147,https://clinicaltrials.gov/study/NCT02024308
EFO_0000222	acute myeloid leukemia	CHEMBL1200976	IDARUBICIN HYDROCHLORIDE	Small molecule	DNA topoisomerase II alpha inhibitor		TOP2A	DNA topoisomerase II alpha	4		https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0a5a6d93-cc1e-4d7f-8da1-446c134503b3,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d521b65f-3fd2-4efe-8cab-b444921dd223
EFO_0000222	acute myeloid leukemia	CHEMBL1200976	IDARUBICIN HYDROCHLORIDE	Small molecule	DNA topoisomerase II alpha inhibitor		TOP2A	DNA topoisomerase II alpha	4	Unknown status	https://clinicaltrials.gov/study/NCT02277847
EFO_0000222	acute myeloid leukemia	CHEMBL178	DAUNORUBICIN	Small molecule	DNA topoisomerase II alpha inhibitor		TOP2A	DNA topoisomerase II alpha	4	Completed	https://clinicaltrials.gov/study/NCT00180167
EFO_0000222	acute myeloid leukemia	CHEMBL1201506	GEMTUZUMAB OZOGAMICIN	Antibody drug conjugate	Myeloid cell surface antigen CD33 binding agent	Binding agent	CD33	CD33 molecule	4		https://www.ema.europa.eu/en/medicines/human/EPAR/mylotarg-0
EFO_0000222	acute myeloid leukemia	CHEMBL1201670	SARGRAMOSTIM	Protein	Granulocyte-macrophage colony-stimulating factor receptor agonist		CSF2RA	colony stimulating factor 2 receptor subunit alpha	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/103362s5237lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL1201670	SARGRAMOSTIM	Protein	Granulocyte-macrophage colony-stimulating factor receptor agonist		CSF2RA	colony stimulating factor 2 receptor subunit alpha 	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/103362s5237lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL3301603	GILTERITINIB FUMARATE	Small molecule	Tyrosine-protein kinase receptor FLT3 inhibitor		FLT3	fms related receptor tyrosine kinase 3	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/211349s000lbl.pdf,https://www.ema.europa.eu/en/medicines/human/EPAR/xospata
EFO_0000222	acute myeloid leukemia	CHEMBL3301603	GILTERITINIB FUMARATE	Small molecule	Tyrosine-protein kinase receptor UFO inhibitor		AXL	AXL receptor tyrosine kinase	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/211349s000lbl.pdf,https://www.ema.europa.eu/en/medicines/human/EPAR/xospata
EFO_0000222	acute myeloid leukemia	CHEMBL1489	AZACITIDINE	Small molecule	DNA (cytosine-5)-methyltransferase 3A inhibitor		DNMT3A	DNA methyltransferase 3 alpha	4		https://www.ema.europa.eu/en/medicines/human/EPAR/azacitidine-accord
EFO_0000222	acute myeloid leukemia	CHEMBL4297573	TAGRAXOFUSP	Protein	Interleukin-3 receptor subunit alpha binding agent		IL3RA	interleukin 3 receptor subunit alpha	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/761116s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL4297610	OLUTASIDENIB	Small molecule	Isocitrate dehydrogenase [NADP] cytoplasmic inhibitor		IDH1	isocitrate dehydrogenase (NADP(+)) 1	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/215814s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL3989931	ENASIDENIB MESYLATE	Small molecule	Isocitrate dehydrogenase [NADP], mitochondrial inhibitor		IDH2	isocitrate dehydrogenase (NADP(+)) 2	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209606s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL3989958	IVOSIDENIB	Small molecule	Isocitrate dehydrogenase [NADP] cytoplasmic inhibitor		IDH1	isocitrate dehydrogenase (NADP(+)) 1	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/211192s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL178	DAUNORUBICIN	Small molecule	DNA topoisomerase II alpha inhibitor		TOP2A	DNA topoisomerase II alpha	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209401s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL178	DAUNORUBICIN	Small molecule	DNA topoisomerase II alpha inhibitor		TOP2A	DNA topoisomerase II alpha	4	Active, not recruiting	https://clinicaltrials.gov/study/NCT03026842
EFO_0000222	acute myeloid leukemia	CHEMBL178	DAUNORUBICIN	Small molecule	DNA topoisomerase II alpha inhibitor		TOP2A	DNA topoisomerase II alpha	4	Terminated	https://clinicaltrials.gov/study/NCT03988205
EFO_0000222	acute myeloid leukemia	CHEMBL4297534	GLASDEGIB MALEATE	Small molecule	Smoothened homolog antagonist		SMO	smoothened, frizzled class receptor	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/210656s000lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=204a6f7e-c9a4-472b-abd2-9527bda64d17,https://www.ema.europa.eu/en/medicines/human/EPAR/daurismo
EFO_0000222	acute myeloid leukemia	CHEMBL4297573	TAGRAXOFUSP	Protein	Elongation factor 2 inhibitor		EEF2	eukaryotic translation elongation factor 2	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/761116s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL4297573	TAGRAXOFUSP	Protein	Interleukin-3 receptor subunit alpha binding agent		IL3RA	interleukin 3 receptor subunit alpha 	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/761116s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL608533	MIDOSTAURIN	Small molecule	Protein kinase C (PKC) inhibitor		PRKCH	protein kinase C eta	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/207997s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL608533	MIDOSTAURIN	Small molecule	Protein kinase C (PKC) inhibitor		PRKCZ	protein kinase C zeta	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/207997s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL608533	MIDOSTAURIN	Small molecule	Protein kinase C (PKC) inhibitor		PRKD3	protein kinase D3	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/207997s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL608533	MIDOSTAURIN	Small molecule	Tyrosine-protein kinase receptor FLT3 inhibitor		FLT3	fms related receptor tyrosine kinase 3	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/207997s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL608533	MIDOSTAURIN	Small molecule	Vascular endothelial growth factor receptor 2 inhibitor		KDR	kinase insert domain receptor	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/207997s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL608533	MIDOSTAURIN	Small molecule	Stem cell growth factor receptor inhibitor		KIT	KIT proto-oncogene, receptor tyrosine kinase	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/207997s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL608533	MIDOSTAURIN	Small molecule	Protein kinase C (PKC) inhibitor		PRKCI	protein kinase C iota	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/207997s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL608533	MIDOSTAURIN	Small molecule	Protein kinase C (PKC) inhibitor		PRKCD	protein kinase C delta	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/207997s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL608533	MIDOSTAURIN	Small molecule	Protein kinase C (PKC) inhibitor		PRKCB	protein kinase C beta	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/207997s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL608533	MIDOSTAURIN	Small molecule	Protein kinase C (PKC) inhibitor		PRKD1	protein kinase D1	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/207997s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLA2	DNA polymerase alpha 2, accessory subunit	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209401s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLE2	DNA polymerase epsilon 2, accessory subunit	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209401s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLA1	DNA polymerase alpha 1, catalytic subunit	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209401s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLD2	DNA polymerase delta 2, accessory subunit	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209401s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLE3	DNA polymerase epsilon 3, accessory subunit	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209401s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLD4	DNA polymerase delta 4, accessory subunit	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209401s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		PRIM1	DNA primase subunit 1	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209401s000lbl.pdf
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLD1	DNA polymerase delta 1, catalytic subunit	4	Active, not recruiting	https://clinicaltrials.gov/study/NCT03026842
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLD3	DNA polymerase delta 3, accessory subunit	4	Active, not recruiting	https://clinicaltrials.gov/study/NCT03026842
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLA1	DNA polymerase alpha 1, catalytic subunit	4	Active, not recruiting	https://clinicaltrials.gov/study/NCT03026842
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLE3	DNA polymerase epsilon 3, accessory subunit	4	Active, not recruiting	https://clinicaltrials.gov/study/NCT03026842
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLE	DNA polymerase epsilon, catalytic subunit	4	Active, not recruiting	https://clinicaltrials.gov/study/NCT03026842
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		PRIM1	DNA primase subunit 1	4	Active, not recruiting	https://clinicaltrials.gov/study/NCT03026842
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLA2	DNA polymerase alpha 2, accessory subunit	4	Completed	https://clinicaltrials.gov/study/NCT00180167,https://clinicaltrials.gov/study/NCT00464217,https://clinicaltrials.gov/study/NCT00180115,https://clinicaltrials.gov/study/NCT00180102,https://clinicaltrials.gov/study/NCT00487448,https://clinicaltrials.gov/study/NCT00488709
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLE3	DNA polymerase epsilon 3, accessory subunit	4	Completed	https://clinicaltrials.gov/study/NCT00464217,https://clinicaltrials.gov/study/NCT00488709,https://clinicaltrials.gov/study/NCT00180102,https://clinicaltrials.gov/study/NCT00180167,https://clinicaltrials.gov/study/NCT00487448,https://clinicaltrials.gov/study/NCT00180115
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLD4	DNA polymerase delta 4, accessory subunit	4	Completed	https://clinicaltrials.gov/study/NCT00488709,https://clinicaltrials.gov/study/NCT00180167,https://clinicaltrials.gov/study/NCT00180115,https://clinicaltrials.gov/study/NCT00180102,https://clinicaltrials.gov/study/NCT00464217,https://clinicaltrials.gov/study/NCT00487448
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLE	DNA polymerase epsilon, catalytic subunit	4	Completed	https://clinicaltrials.gov/study/NCT00180115,https://clinicaltrials.gov/study/NCT00488709,https://clinicaltrials.gov/study/NCT00464217,https://clinicaltrials.gov/study/NCT00487448,https://clinicaltrials.gov/study/NCT00180102,https://clinicaltrials.gov/study/NCT00180167
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		PRIM1	DNA primase subunit 1	4	Completed	https://clinicaltrials.gov/study/NCT00488709,https://clinicaltrials.gov/study/NCT00487448,https://clinicaltrials.gov/study/NCT00180102,https://clinicaltrials.gov/study/NCT00180115,https://clinicaltrials.gov/study/NCT00464217,https://clinicaltrials.gov/study/NCT00180167
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLA2	DNA polymerase alpha 2, accessory subunit	4	Terminated	https://clinicaltrials.gov/study/NCT03988205
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLD1	DNA polymerase delta 1, catalytic subunit	4	Terminated	https://clinicaltrials.gov/study/NCT03988205
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLD3	DNA polymerase delta 3, accessory subunit	4	Terminated	https://clinicaltrials.gov/study/NCT03988205
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLD2	DNA polymerase delta 2, accessory subunit	4	Terminated	https://clinicaltrials.gov/study/NCT03988205
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		PRIM2	DNA primase subunit 2	4	Terminated	https://clinicaltrials.gov/study/NCT03988205
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLE2	DNA polymerase epsilon 2, accessory subunit	4	Unknown status	https://clinicaltrials.gov/study/NCT02024308,https://clinicaltrials.gov/study/NCT01587430,https://clinicaltrials.gov/study/NCT00199147,https://clinicaltrials.gov/study/NCT02277847,https://clinicaltrials.gov/study/NCT02926586
EFO_0000222	acute myeloid leukemia	CHEMBL803	CYTARABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLA1	DNA polymerase alpha 1, catalytic subunit	4	Unknown status	https://clinicaltrials.gov/study/NCT02024308,https://clinicaltrials.gov/study/NCT01587430,https://clinicaltrials.gov/study/NCT02926586,https://clinicaltrials.gov/study/NCT00199147,https://clinicaltrials.gov/study/NCT02277847
